refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi p-value cutoff;LR;combo;normal;diff expression;500;60,0;205,0;82,3799732598655;0,6323235161152764;17,0;48,0;71,0;90,0;47,66829268292683;14,0;72,90398873673121;0,6523893566271273;18,0;48,0;61,0;70,0;83,45853658536585;37,0
farashi p-value cutoff;LR;combo;normal;diff expression;1000;79,0;258,0;82,40426949517467;0,6177868646538331;15,0;49,0;71,0;102,0;102,09302325581395;14,0;78,63770091873043;0,6864722179598202;19,0;52,0;68,0;80,0;103,43023255813954;45,5
farashi p-value cutoff;LR;combo;normal;diff expression;2000;88,0;274,0;76,33077099924186;0,615929586687356;17,0;48,0;58,0;80,0;186,6094890510949;30,5;81,27399420133004;0,7653004563416613;17,0;50,0;66,0;84,0;97,66423357664233;44,0
farashi p-value cutoff;LR;combo;normal;no expression;100;24,0;25,0;62,98507462686567;0,4826388888888889;9,0;21,0;23,0;25,0;2,44;2,0;83,13432835820895;0,8319444444444445;15,0;24,0;25,0;25,0;1,56;1,0
farashi p-value cutoff;LR;combo;normal;no expression;500;60,0;62,0;71,17374834023276;0,565173713163698;11,0;21,0;39,0;49,0;6,596774193548387;4,0;75,46668749511834;0,6543596845194162;20,0;39,0;46,0;49,0;6,532258064516129;3,0
farashi p-value cutoff;LR;combo;normal;no expression;1000;79,0;83,0;70,89741275396413;0,5633344050260336;10,0;20,0;34,0;53,0;12,566265060240964;7,0;78,57354987858636;0,7009676839980167;21,0;41,0;48,0;58,0;9,048192771084338;4,0
farashi p-value cutoff;LR;combo;normal;no expression;2000;88,0;92,0;64,65226330550993;0,517793504926678;6,0;12,0;16,0;37,0;22,967391304347824;16,5;81,43192763679842;0,7643710212318106;19,0;41,0;49,0;58,0;10,967391304347826;5,0
farashi p-value cutoff;SVM;combo;binary;diff expression;100;24,0;73,0;63,24899822942876;0,6463972431077695;12,0;30,0;37,0;39,0;27,21917808219178;5,0;62,447581772435;0,5838189223057644;8,0;17,0;26,0;39,0;21,10958904109589;8,0
farashi p-value cutoff;SVM;combo;binary;diff expression;500;60,0;205,0;89,25183331982822;0,6868349760249307;21,0;60,0;77,0;102,0;19,102439024390243;11,0;56,776851551738105;0,4528622786055641;7,0;19,0;33,0;66,0;156,10243902439024;118,0
farashi p-value cutoff;SVM;combo;binary;diff expression;1000;79,0;258,0;89,93560729911897;0,7076394711167403;25,0;70,0;95,0;135,0;35,84108527131783;10,0;61,00343007318724;0,5109264453004209;6,0;17,0;33,0;61,0;279,99612403100775;145,5
