refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;DT;outgoing;normal;no expression;1000;164,0;176,0;85,68022945935604;0,7383175363712164;51,0;112,0;134,0;156,0;4,6477272727272725;2,0;75,42562387251954;0,6701779282798596;35,0;73,0;106,0;134,0;7,9375;4,0
farashi;DT;outgoing;normal;no expression;2000;182,0;196,0;87,0179170864056;0,7713300071484976;57,0;115,0;136,0;163,0;6,285714285714286;3,0;77,76669649092881;0,726241010480129;20,0;67,0;99,0;135,0;10,41326530612245;5,0
farashi;KNN;incoming;binary;diff expression;100;45,0;193,0;82,42245723614167;0,7627053517217453;27,0;71,0;104,0;159,0;6,435233160621761;5,0;66,46852154162822;0,6462433862433863;21,0;55,0;75,0;123,0;11,435233160621761;8,0
farashi;KNN;incoming;binary;diff expression;500;121,0;492,0;89,02618604499298;0,7272208471729816;50,0;143,0;211,0;300,0;11,146341463414634;7,0;72,39780259248376;0,5904419407024004;22,0;72,0;113,0;206,0;41,84552845528455;15,5
farashi;KNN;incoming;binary;diff expression;1000;159,0;613,0;91,43584749481786;0,7308333213462221;50,0;145,0;227,0;345,0;13,951060358890702;8,0;74,20960948733966;0,6406059213144535;27,0;80,0;134,0;230,0;72,81076672104405;19,0
farashi;KNN;incoming;binary;diff expression;2000;180,0;680,0;91,75561966779793;0,7721704151973507;57,0;161,0;256,0;384,0;18,15;8,0;74,70991398456492;0,6881054148015514;16,0;52,0;92,0;170,0;77,74411764705883;36,0
farashi;KNN;incoming;binary;no expression;100;45,0;46,0;68,09726580008964;0,652087542087542;24,0;40,0;44,0;46,0;2,0434782608695654;1,0;65,18377409233528;0,6113997113997114;22,0;42,0;45,0;46,0;2,0217391304347827;2,0
farashi;KNN;incoming;binary;no expression;500;121,0;130,0;79,14618945868946;0,6762733608706339;40,0;78,0;107,0;125,0;3,7384615384615385;3,0;69,29190408357076;0,5451726715147487;22,0;63,0;94,0;110,0;5,946153846153846;4,0
farashi;KNN;incoming;binary;no expression;1000;159,0;170,0;81,15154698242934;0,6871044358794757;41,0;72,0;112,0;152,0;5,4411764705882355;4,0;73,6494461420932;0,6259787265838052;31,0;62,0;87,0;129,0;7,805882352941176;5,0
farashi;KNN;incoming;binary;no expression;2000;180,0;192,0;83,44643102500686;0,7481215555730715;45,0;83,0;105,0;155,0;7,666666666666667;4,0;76,36447169552075;0,7011855294540038;27,0;53,0;76,0;130,0;10,479166666666666;7,0
farashi;KNN;incoming;normal;diff expression;100;45,0;193,0;77,72316464381197;0,7526845346517478;29,0;72,0;103,0;159,0;12,984455958549223;5,0;75,76832990276102;0,7606444617920027;28,0;67,0;96,0;151,0;12,699481865284975;6,0
farashi;KNN;incoming;normal;diff expression;500;121,0;492,0;89,0009305514742;0,7197748305327502;48,0;145,0;212,0;298,0;11,158536585365853;7,0;68,60627877363112;0,6117303075358829;25,0;65,0;86,0;125,0;55,25;18,0
