refset;bp distance;algorithm;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi p-value cutoff;1000;RF;64,63747692558537;0,46353258218909776;2,0;19,0;28,0;45,0;16,120481927710845;9,0
farashi p-value cutoff;2000;LR;81,48109349334585;0,7654147536188265;21,0;41,0;49,0;58,0;10,945652173913043;5,0
farashi p-value cutoff;2000;SVM;62,86860424837696;0,4614613787712782;1,0;7,0;14,0;39,0;25,52173913043478;13,0
farashi p-value cutoff;2000;DT;62,49371459220274;0,462782403182641;1,0;7,0;15,0;40,0;25,92391304347826;13,5
farashi p-value cutoff;2000;KNN1;61,787653782977436;0,4527382054070397;1,0;6,0;15,0;36,0;26,41304347826087;14,0
farashi p-value cutoff;2000;KNN3;62,05219961337759;0,47110798311288904;4,0;9,0;15,0;32,0;26,391304347826086;14,0
farashi p-value cutoff;2000;KNN5;63,5168393058675;0,4799040362428128;4,0;11,0;18,0;33,0;25,25;13,5
farashi p-value cutoff;2000;KNN7;62,85435732403651;0,47969869435577744;2,0;15,0;20,0;34,0;26,0;14,0
farashi p-value cutoff;2000;KNN9;62,37415216832601;0,4671240401403928;2,0;15,0;19,0;32,0;26,76086956521739;14,0
farashi p-value cutoff;2000;RF;60,57387169946252;0,42953679564397595;2,0;9,0;14,0;29,0;27,23913043478261;17,0
