refset;bp distance;algorithm;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
farashi p-value cutoff;500;SVM;60,0;62,0;85,1773021947981;0,8149038113445665;25,0;40,0;51,0;60,0;3,6451612903225805;2,0
farashi p-value cutoff;500;DT;60,0;62,0;88,65597906740608;0,792266136697437;30,0;45,0;53,0;60,0;2,8548387096774195;2,0
farashi p-value cutoff;500;KNN1;60,0;62,0;86,92493946731236;0,7636653183200759;28,0;44,0;52,0;59,0;3,306451612903226;2,0
farashi p-value cutoff;500;KNN3;60,0;62,0;82,24049051003671;0,7283416709400581;22,0;34,0;48,0;58,0;3,967741935483871;3,0
farashi p-value cutoff;500;KNN5;60,0;62,0;79,88655002733734;0,6960060118372353;20,0;35,0;40,0;55,0;4,532258064516129;3,0
farashi p-value cutoff;500;KNN7;60,0;62,0;78,41033351558228;0,6751422184368362;19,0;32,0;43,0;53,0;4,967741935483871;3,0
farashi p-value cutoff;500;KNN9;60,0;62,0;76,0602983675701;0,648427183610982;15,0;31,0;41,0;51,0;5,467741935483871;3,5
farashi p-value cutoff;500;RF;60,0;62,0;89,79047879403265;0,8442575432170893;31,0;47,0;55,0;60,0;2,6774193548387095;1,5
farashi p-value cutoff;1000;LR;79,0;83,0;66,82146663017463;0,48257364130302505;9,0;19,0;32,0;49,0;15,44578313253012;9,0
farashi p-value cutoff;1000;SVM;79,0;83,0;83,07051308181008;0,7588038880610424;23,0;42,0;51,0;66,0;6,855421686746988;3,0
farashi p-value cutoff;1000;DT;79,0;83,0;88,7524966953362;0,7834284970727385;34,0;52,0;62,0;75,0;4,855421686746988;2,0
farashi p-value cutoff;1000;KNN1;79,0;83,0;87,55058901628749;0,7528569045633202;30,0;51,0;59,0;75,0;5,228915662650603;2,0
farashi p-value cutoff;1000;KNN3;79,0;83,0;85,07223674786142;0,7359262576119446;20,0;39,0;49,0;74,0;5,831325301204819;4,0
farashi p-value cutoff;1000;KNN5;79,0;83,0;84,63811747715852;0,73092021504094;18,0;40,0;49,0;70,0;5,698795180722891;4,0
farashi p-value cutoff;1000;KNN7;79,0;83,0;82,38046434165855;0,7137764769168311;17,0;39,0;48,0;65,0;6,614457831325301;4,0
farashi p-value cutoff;1000;KNN9;79,0;83,0;81,99991847525433;0,7130597516462408;16,0;35,0;50,0;67,0;6,951807228915663;4,0
farashi p-value cutoff;1000;RF;79,0;83,0;91,49958946467358;0,8704430023071665;34,0;56,0;67,0;78,0;3,5421686746987953;2,0
farashi p-value cutoff;2000;LR;88,0;92,0;64,96010861184675;0,49808805431499703;6,0;14,0;20,0;34,0;24,42391304347826;14,5
farashi p-value cutoff;2000;SVM;88,0;92,0;82,54332741108243;0,7733609140686454;19,0;37,0;47,0;61,0;10,315217391304348;5,0
farashi p-value cutoff;2000;DT;88,0;92,0;89,89404199211111;0,8332842581851228;37,0;62,0;69,0;76,0;6,815217391304348;2,0
farashi p-value cutoff;2000;KNN1;88,0;92,0;88,29517392421752;0,801994772870827;33,0;58,0;64,0;70,0;7,619565217391305;2,0
farashi p-value cutoff;2000;KNN3;88,0;92,0;86,48986512911624;0,7952020337208808;25,0;47,0;56,0;69,0;8,48913043478261;3,0
farashi p-value cutoff;2000;KNN5;88,0;92,0;85,90965215156493;0,7978211694329679;18,0;42,0;54,0;66,0;8,521739130434783;4,0
farashi p-value cutoff;2000;KNN7;88,0;92,0;84,01662699875968;0,7805804833719795;17,0;38,0;50,0;62,0;9,543478260869565;4,5
farashi p-value cutoff;2000;KNN9;88,0;92,0;83,40819952398512;0,7690890586644431;15,0;37,0;53,0;63,0;10,0;4,0
farashi p-value cutoff;2000;RF;88,0;92,0;91,51553752807482;0,886227863327709;38,0;60,0;66,0;82,0;5,445652173913044;2,0
